BRGY_NAME,baranggay_id
ABCR,1
ALFONZO TABORA,2
AMBIONG,3
ANDRES BONIFACIO,4
ASIN,5
ATOK TRAIL,6
AURORA HILL PROPER / MALVAR FLORESCA,7
AZCKO,8
BAGONG LIPUNAN,9
BAKAKENG CENTRAL,10
BAKAKENG NORTE/SUR,11
BAL-MARCOVILLE,12
BALSIGAN,13
BAYAN PARK VILLAGE,14
BGH COMPOUND,15
BROOKSIDE,16
BROOKSPOINT,17
CABINET HILL-TEACHER'S CAMP,18
CAMDAS,19
CAMP 7,20
CAMP 8,21
CAMP HENRY ALLEN,22
CAMPO FILIPINO,23
CAMPO SIOCO / FERDINAND,24
CITY CAMP CENTRAL,25
CITY CAMP PROPER,26
COUNTRY CLUB VILLAGE,27
CRECENCIA VILLAGE,28
DIZON SUBDIVISION,29
DOMINICAN MIRADOR,30
DONTOGAN,31
DPS COMPOUND,32
EAST BAYAN PARK,33
EAST MODERNSITE-GIL PUYAT,34
EAST QUIRINO HILL,35
ENGINEER'S HILL,36
FAIRVIEW,37
GABRIELA SILANG,38
GIBRALTAR,39
GREEN WATER VILLAGE,40
GUISAD CENTRAL,41
GUISAD SURONG,42
HAPPY HALLOW,43
HAPPY HOMES/OLD LUCBAN,44
HARRISON CARANTES,45
HILLSIDE,46
HOLYGHOST EXTENSION,47
HOLYGHOST HILL PROPER,48
HONEYMOON,49
IMELDA MARCOS,50
IMELDA VILLAGE,51
IRISAN,52
KABAYANIHAN,53
KAGITINGAN,54
KAYANG EXTENSION,55
KAYANG-HILLTOP,56
KIAS,57
KISAD-LEGARDA,58
LEONILA HILL / WEST BAYAN PARK,59
LIWANAG LOAKAN,60
LOAKAN APUGAN,61
LOAKAN PROPER,62
LOPEZ JAENA,63
LOURDES EXTENSION,64
LOURDES PROPER,65
LOWER DAGSIAN,66
LOWER GEN. LUNA,67
LOWER LOURDES,68
LOWER MAGSAYSAY,69
LOWER Q.M,70
LOWER QUIRINO HILL,71
LOWER ROCK QUARRY,72
LUALHATI,73
LUCNAB,74
MALCOM SQUARE-PERFECTO,75
MANUEL ROXAS,76
MIDDLE QUEZON HILL,77
MIDDLE QUIRINO HILL,78
MIDDLE ROCK QUARRY,79
MILITARY CUT OFF,80
MINES VIEW PARK,81
NEW LUCBAN,82
NORTH CENTRAL AURORA HILL,83
NORTH SANITARYCAMP,84
OUTLOOK DRIVE,85
PACDAL,86
PADRE BURGOS,87
PADRE ZAMORA,88
PALMA URBANO,89
PHIL-AM COMPOUND,90
PINGET,91
PINSAO PILOT PROJ,92
PINSAO PROPER,93
PMA FORT DEL PILAR,94
PRIVATE ROAD MAGSAYSAY,95
PUCSUSAN,96
PULIWES,97
QUEEN OF PEACE,98
QUEZON HILL PROPER,99
RIZAL MONUMENT,100
SALUD MITRA,101
SAN ANTONIO VILLAGE,102
SAN LUIS VILLAGE,103
SAN ROQUE VILLAGE,104
SAN VICENTE,105
SCOUT BARRIO,106
SESSION ROAD GOV.PACK,107
SLU-SVP,108
SOUTH CENTRAL AURORA HILL,109
SOUTH DRIVE,110
SOUTH SANITARY CAMP,111
ST. JOSEPH VILLAGE,112
STA. ESCOLASTICA,113
STO. NIÑO SLAUGHTER COMPOUND,114
STO. ROSARIO VALLEY,115
STO. TOMAS SCHOOL AREA,116
STO.TOMAS PROPER,117
TEODORA  ALONZO,118
TRANCOVILLE,119
UPPER DAGSIAN,120
UPPER GEN. LUNA,121
UPPER MAGSAYSAY,122
UPPER MARKET SUBD.,123
UPPER Q.M QUIRINO MAGSAYSAY,124
UPPER QUEZON HILL,125
UPPER ROCK QUARRY,126
VICTORIA VILLAGE,127
WEST MODERNSITE,128
WEST QUIRINO HILL,129
